RK,NAME,POSITION,TEAM,SALARY,SALARY
280,Bruno Caboclo, SF,Toronto Raptors,1524000,"$1,524,000.00"
281,Delon Wright, PG,Toronto Raptors,1509360,"$1,509,360.00"
282,Shane Larkin, PG,Brooklyn Nets,1500000,"$1,500,000.00"
283,Wayne Ellington, SG,Brooklyn Nets,1500000,"$1,500,000.00"
284,David West, PF,San Antonio Spurs,1499187,"$1,499,187.00"
285,Gorgui Dieng, PF,Minnesota Timberwolves,1474440,"$1,474,440.00"
286,Mitch McGary, PF,Oklahoma City Thunder,1463040,"$1,463,040.00"
287,Caron Butler, SF,Sacramento Kings,1449187,"$1,449,187.00"
288,Justin Anderson, SG,Dallas Mavericks,1449000,"$1,449,000.00"
289,Mason Plumlee, C,Portland Trail Blazers,1415520,"$1,415,520.00"
290,Jordan Adams, SG,Memphis Grizzlies,1404600,"$1,404,600.00"
291,Bobby Portis, PF,Chicago Bulls,1391160,"$1,391,160.00"
292,Andrea Bargnani, C,Brooklyn Nets,1362897,"$1,362,897.00"
293,Solomon Hill, SF,Indiana Pacers,1358880,"$1,358,880.00"
294,Rodney Hood, SG,Utah Jazz,1348440,"$1,348,440.00"
295,Rondae Hollis-Jefferson, SF,Brooklyn Nets,1335480,"$1,335,480.00"
296,Alonzo Gee, SF,New Orleans Pelicans,1320000,"$1,320,000.00"
297,Tim Hardaway Jr., SG,Atlanta Hawks,1304520,"$1,304,520.00"
298,Nikola Jokic, PF,Denver Nuggets,1300000,"$1,300,000.00"
299,Shabazz Napier, PG,Orlando Magic,1294440,"$1,294,440.00"
300,Tyus Jones, PG,Minnesota Timberwolves,1282080,"$1,282,080.00"
301,Sasha Kaun, C,Cleveland Cavaliers,1276000,"$1,276,000.00"
302,Brandon Rush, SG,Golden State Warriors,1270964,"$1,270,964.00"
303,Cartier Martin, PF,Detroit Pistons,1270964,"$1,270,964.00"
304,Reggie Bullock, SF,Detroit Pistons,1252440,"$1,252,440.00"
305,Clint Capela, C,Houston Rockets,1242720,"$1,242,720.00"
306,Jarell Martin, PF,Memphis Grizzlies,1230840,"$1,230,840.00"
307,Andre Roberson, SF,Oklahoma City Thunder,1210800,"$1,210,800.00"
308,P.J. Hairston, SF,Charlotte Hornets,1201440,"$1,201,440.00"
309,Boban Marjanovic, C,San Antonio Spurs,1200000,"$1,200,000.00"
310,Earl Clark, SF,Brooklyn Nets,1185784,"$1,185,784.00"
311,Reggie Williams, SF,New Orleans Pelicans,1185784,"$1,185,784.00"
312,Rudy Gobert, C,Utah Jazz,1175880,"$1,175,880.00"
313,Jordan Mickey, PF,Boston Celtics,1170960,"$1,170,960.00"
314,Toney Douglas, PG,New Orleans Pelicans,1164858,"$1,164,858.00"
315,Archie Goodwin, SG,Phoenix Suns,1160160,"$1,160,160.00"
316,CJ Wilcox, SG,LA Clippers,1159680,"$1,159,680.00"
317,Larry Nance Jr., PF,Los Angeles Lakers,1155600,"$1,155,600.00"
318,Chris Copeland, SF,Milwaukee Bucks,1150000,"$1,150,000.00"
319,Damjan Rudez, SF,Minnesota Timberwolves,1149500,"$1,149,500.00"
320,R.J. Hunter, SG,Boston Celtics,1148640,"$1,148,640.00"
321,Matthew Dellavedova, PG,Cleveland Cavaliers,1147276,"$1,147,276.00"
322,Kyle Anderson, SG,San Antonio Spurs,1142880,"$1,142,880.00"
323,Josh Huestis, SF,Oklahoma City Thunder,1140240,"$1,140,240.00"
324,Chris McCullough, PF,Brooklyn Nets,1140240,"$1,140,240.00"
325,Kevon Looney, SF,Golden State Warriors,1131960,"$1,131,960.00"
326,Luke Babbitt, SF,New Orleans Pelicans,1100602,"$1,100,602.00"
327,Cole Aldrich, C,LA Clippers,1100602,"$1,100,602.00"
328,Garrett Temple, SG,Washington Wizards,1100602,"$1,100,602.00"
329,Jeremy Evans, SF,Dallas Mavericks,1100602,"$1,100,602.00"
330,Glenn Robinson III, SG,Indiana Pacers,1100000,"$1,100,000.00"
331,Richaun Holmes, PF,Philadelphia 76ers,1074169,"$1,074,169.00"
332,Jon Leuer, PF,Phoenix Suns,1035000,"$1,035,000.00"
333,James Anderson, SG,Sacramento Kings,1015421,"$1,015,421.00"
334,Joey Dorsey, PF,Barcelona FC Barcelona,1015421,"$1,015,421.00"
335,E'Twaun Moore, SG,Chicago Bulls,1015421,"$1,015,421.00"
336,Rakeem Christmas, PF,Indiana Pacers,1007026,"$1,007,026.00"
337,Joe Young, PG,Indiana Pacers,1007026,"$1,007,026.00"
338,Robert Covington, SF,Philadelphia 76ers,1000000,"$1,000,000.00"
339,Montrezl Harrell, PF,Houston Rockets,1000000,"$1,000,000.00"
340,Kris Humphries, PF,Washington Wizards,1000000,"$1,000,000.00"
341,Walter Tavares, C,Atlanta Hawks,1000000,"$1,000,000.00"
342,John Jenkins, SG,Phoenix Suns,981348,"$981,348.00"
343,Jerel McNeal, SG,Phoenix Suns,981348,"$981,348.00"
